Protein,SG,DG,SG_DG_SUM,SG_DG_PRO,SG_DG_SUB,EV,SG_EV_SUM,SG_EV_PRO,SG_EV_SUB,DG_EV_SUM,DG_EV_PRO,DG_EV_SUB,INFO,SG_INFO_SUM,SG_INFO_PRO,SG_INFO_SUB,DG_INFO_SUM,DG_INFO_PRO,DG_INFO_SUB,EV_INFO_SUM,EV_INFO_PRO,EV_INFO_SUB,LAC,SG_LAC_SUM,SG_LAC_PRO,SG_LAC_SUB,DG_LAC_SUM,DG_LAC_PRO,DG_LAC_SUB,EV_LAC_SUM,EV_LAC_PRO,EV_LAC_SUB,INFO_LAC_SUM,INFO_LAC_PRO,INFO_LAC_SUB,BNESS,SG_BNESS_SUM,SG_BNESS_PRO,SG_BNESS_SUB,DG_BNESS_SUM,DG_BNESS_PRO,DG_BNESS_SUB,EV_BNESS_SUM,EV_BNESS_PRO,EV_BNESS_SUB,INFO_BNESS_SUM,INFO_BNESS_PRO,INFO_BNESS_SUB,LAC_BNESS_SUM,LAC_BNESS_PRO,LAC_BNESS_SUB,CNESS,SG_CNESS_SUM,SG_CNESS_PRO,SG_CNESS_SUB,DG_CNESS_SUM,DG_CNESS_PRO,DG_CNESS_SUB,EV_CNESS_SUM,EV_CNESS_PRO,EV_CNESS_SUB,INFO_CNESS_SUM,INFO_CNESS_PRO,INFO_CNESS_SUB,LAC_CNESS_SUM,LAC_CNESS_PRO,LAC_CNESS_SUB,BNESS_CNESS_SUM,BNESS_CNESS_PRO,BNESS_CNESS_SUB,NET,SG_NET_SUM,SG_NET_PRO,SG_NET_SUB,DG_NET_SUM,DG_NET_PRO,DG_NET_SUB,EV_NET_SUM,EV_NET_PRO,EV_NET_SUB,INFO_NET_SUM,INFO_NET_PRO,INFO_NET_SUB,LAC_NET_SUM,LAC_NET_PRO,LAC_NET_SUB,BNESS_NET_SUM,BNESS_NET_PRO,BNESS_NET_SUB,CNESS_NET_SUM,CNESS_NET_PRO,CNESS_NET_SUB,GE_T1,GE_T1_GE_T2_SUM,GE_T1_GE_T2_PRO,GE_T1_GE_T2_SUB,GE_T1_GE_T3_SUM,GE_T1_GE_T3_PRO,GE_T1_GE_T3_SUB,GE_T1_GE_T4_SUM,GE_T1_GE_T4_PRO,GE_T1_GE_T4_SUB,GE_T1_GE_T5_SUM,GE_T1_GE_T5_PRO,GE_T1_GE_T5_SUB,GE_T1_GE_T6_SUM,GE_T1_GE_T6_PRO,GE_T1_GE_T6_SUB,GE_T1_GE_T7_SUM,GE_T1_GE_T7_PRO,GE_T1_GE_T7_SUB,GE_T1_GE_T8_SUM,GE_T1_GE_T8_PRO,GE_T1_GE_T8_SUB,GE_T2,GE_T2_GE_T3_SUM,GE_T2_GE_T3_PRO,GE_T2_GE_T3_SUB,GE_T2_GE_T4_SUM,GE_T2_GE_T4_PRO,GE_T2_GE_T4_SUB,GE_T2_GE_T5_SUM,GE_T2_GE_T5_PRO,GE_T2_GE_T5_SUB,GE_T2_GE_T6_SUM,GE_T2_GE_T6_PRO,GE_T2_GE_T6_SUB,GE_T2_GE_T7_SUM,GE_T2_GE_T7_PRO,GE_T2_GE_T7_SUB,GE_T2_GE_T8_SUM,GE_T2_GE_T8_PRO,GE_T2_GE_T8_SUB,GE_T3,GE_T3_GE_T4_SUM,GE_T3_GE_T4_PRO,GE_T3_GE_T4_SUB,GE_T3_GE_T5_SUM,GE_T3_GE_T5_PRO,GE_T3_GE_T5_SUB,GE_T3_GE_T6_SUM,GE_T3_GE_T6_PRO,GE_T3_GE_T6_SUB,GE_T3_GE_T7_SUM,GE_T3_GE_T7_PRO,GE_T3_GE_T7_SUB,GE_T3_GE_T8_SUM,GE_T3_GE_T8_PRO,GE_T3_GE_T8_SUB,GE_T4,GE_T4_GE_T5_SUM,GE_T4_GE_T5_PRO,GE_T4_GE_T5_SUB,GE_T4_GE_T6_SUM,GE_T4_GE_T6_PRO,GE_T4_GE_T6_SUB,GE_T4_GE_T7_SUM,GE_T4_GE_T7_PRO,GE_T4_GE_T7_SUB,GE_T4_GE_T8_SUM,GE_T4_GE_T8_PRO,GE_T4_GE_T8_SUB,GE_T5,GE_T5_GE_T6_SUM,GE_T5_GE_T6_PRO,GE_T5_GE_T6_SUB,GE_T5_GE_T7_SUM,GE_T5_GE_T7_PRO,GE_T5_GE_T7_SUB,GE_T5_GE_T8_SUM,GE_T5_GE_T8_PRO,GE_T5_GE_T8_SUB,GE_T6,GE_T6_GE_T7_SUM,GE_T6_GE_T7_PRO,GE_T6_GE_T7_SUB,GE_T6_GE_T8_SUM,GE_T6_GE_T8_PRO,GE_T6_GE_T8_SUB,GE_T7,GE_T7_GE_T8_SUM,GE_T7_GE_T8_PRO,GE_T7_GE_T8_SUB,GE_T8,Essentiality,Essential_Name
YDL209C,6.13E+18,134,6.13E+18,8.21E+20,6.13E+18,0.17384084,6.13E+18,1.07E+18,-8.15E+20,1.34E+02,2.33E+01,1.34E+02,3.413979,6.13E+18,2.09E+19,6.13E+18,1.37E+02,4.57E+02,1.31E+02,3.59E+00,5.93E-01,-3.24E+00,24.462687,6.13E+18,1.50E+20,6.13E+18,1.58E+02,3.28E+03,1.10E+02,2.46E+01,4.25E+00,-2.43E+01,2.79E+01,8.35E+01,-2.10E+01,107181.51,6.13E+18,6.57E+23,6.13E+18,107315.51,14362322.34,-107047.51,107181.6838,18632.52373,-107181.3362,107184.924,365915.4243,-107178.096,107205.9727,2621947.731,-107157.0473,0.007536112,6.13E+18,4.62E+16,6.13E+18,134.0075361,1.009839008,133.9924639,0.181376952,0.001310084,0.166304728,3.421515112,0.025728128,3.406442888,24.47022311,0.184353549,24.45515089,107181.5175,807.7318637,107181.5025,67.726685,6.13E+18,4.15E+20,6.13E+18,201.726685,9075.37579,66.273315,67.90052584,11.77366381,-67.55284416,71.140664,231.2174803,-64.312706,92.189372,1656.776697,-43.263998,107249.2367,7259048.366,107113.7833,67.73422111,0.510395884,-67.71914889,1143.1,2269.7,1287816.46,16.5,2307.2,1330682.71,-2269.7,1948.9,921109.98,337.3,2226.3,1238205.92,59.9,2473.8,1521123.17,-187.6,2277.9,1297189.88,8.3,1922.1,890474.9,364.1,1126.6,2290.7,1311475.06,-37.5,1932.4,907814.28,320.8,2209.8,1220333.12,43.4,2457.3,1499166.62,-204.1,2261.4,1278465.68,-8.2,1905.6,877621.4,347.6,1164.1,1969.9,938031.78,358.3,2247.3,1260953.12,80.9,2494.8,7.14E+21,-166.6,2298.9,1321020.68,29.3,1943.1,906833.9,385.1,805.8,1889,872842.56,-277.4,2136.5,1072278.06,-524.9,1940.6,914421.84,-329,1584.8,627718.2,26.8,1083.2,2413.9,1441414.24,-247.5,2218,1229215.36,-51.6,-304.2,843812.8,355.8,1330.7,2465.5,1510078.36,195.9,2109.7,1036615.3,551.7,1134.8,1913.8,884009.2,355.8,779,0,NE
YDR152W,4.86E+18,142,4.86E+18,6.90E+20,4.86E+18,0.15478253,4.86E+18,7.52E+17,-6.85E+20,1.42E+02,2.20E+01,1.42E+02,3.418759,4.86E+18,1.66E+19,4.86E+18,1.45E+02,4.85E+02,1.39E+02,3.57E+00,5.29E-01,-3.26E+00,13.154929,4.86E+18,6.39E+19,4.86E+18,1.55E+02,1.87E+03,1.29E+02,1.33E+01,2.04E+00,-1.30E+01,1.66E+01,4.50E+01,-9.74E+00,292197.88,4.86E+18,1.42E+24,4.86E+18,292339.88,41492098.96,-292055.88,292198.0348,45227.12713,-292197.7252,292201.2988,998954.132,-292194.4612,292211.0349,3843842.365,-292184.7251,0.007542075,4.86E+18,3.66E+16,4.86E+18,142.0075421,1.070974607,141.9924579,0.162324605,0.001167381,0.147240455,3.426301075,0.025784536,3.411216925,13.16247107,0.099215457,13.14738693,292197.8875,2203.778238,292197.8725,37.86445,4.86E+18,1.84E+20,4.86E+18,179.86445,5376.7519,104.13555,38.01923253,5.860755368,-37.70966747,41.283209,129.4494292,-34.445691,51.019379,498.1041514,-24.709521,292235.7445,11063912.02,292160.0156,37.87199207,0.28557651,-37.85690793,427.9,839.2,175995.27,16.6,686.1,110483.78,-839.2,901.9,202824.6,-46.1,1014.8,251134.51,-159,806.4,161960.15,49.4,726.2,127642.57,129.6,811.5,164142.44,44.3,411.3,669.5,106197.66,153.1,885.3,194956.2,-62.7,998.2,241391.97,-175.6,789.8,155677.05,32.8,709.6,122690.79,113,794.9,157774.68,27.7,258.2,732.2,122386.8,-215.8,845.1,151537.58,-328.7,636.7,1.25E+21,-120.3,556.5,77021.06,-40.1,641.8,99045.52,-125.4,474,1060.9,278190.6,-112.9,852.5,179409,95.5,772.3,141394.2,175.7,857.6,181826.4,90.4,586.9,965.4,222141.65,208.4,885.2,175072.27,288.6,-203.3,225134.84,-85.3,378.5,676.8,112906.55,80.2,762.1,145192.6,-5.1,298.3,681.9,114427.88,-85.3,383.6,0,NE
YBR269C,4.81E+18,131,4.81E+18,6.31E+20,4.81E+18,0.15410952,4.81E+18,7.42E+17,-6.26E+20,1.31E+02,2.02E+01,1.31E+02,3.4120488,4.81E+18,1.64E+19,4.81E+18,1.34E+02,4.47E+02,1.28E+02,3.57E+00,5.26E-01,-3.26E+00,18.10687,4.81E+18,8.72E+19,4.81E+18,1.49E+02,2.37E+03,1.13E+02,1.83E+01,2.79E+00,-1.80E+01,2.15E+01,6.18E+01,-1.47E+01,115737.67,4.81E+18,5.57E+23,4.81E+18,115868.67,15161634.77,-115606.67,115737.8241,17836.27677,-115737.5159,115741.082,394902.578,-115734.258,115755.7769,2095646.945,-115719.5631,0.007536091,4.81E+18,3.63E+16,4.81E+18,131.0075361,0.987227921,130.9924639,0.161645611,0.001161383,0.146573429,3.419584891,0.02571351,3.404512709,18.11440609,0.13645502,18.09933391,115737.6775,872.2096132,115737.6625,57.330143,4.81E+18,2.76E+20,4.81E+18,188.330143,7510.248733,73.669857,57.48425252,8.835120819,-57.17603348,60.7421918,195.6132456,-53.9180942,75.437013,1038.069446,-39.223273,115795.0001,6635257.172,115680.3399,57.33767909,0.432045175,-57.32260691,31948.9,138754,3412305459,-74856.2,252293,7039751616,-138754,96199.7,2052742384,-32301.9,57796,825786413.2,6101.8,102082.4,2240688178,-38184.6,121973,2876170968,-58075.2,129073,3103008158,-65175.2,106805.1,327149.2,23533873635,-113539,171055.9,6862313119,42554.3,132652.2,2760602100,80958,176938.6,7490615481,36671.6,196829.2,9615033003,16781,203929.2,10373349213,9681,220344.1,284594.9,14157284700,156093.3,246191.2,5695255987,194497,290477.6,1.06E+24,150210.6,310368.2,19836279293,130320,317468.2,21400722403,123220,64250.8,90097.9,1660696853,38403.7,134384.3,4506133482,-5882.7,154274.9,5784120444,-25773.3,161374.9,6240301124,-32873.3,25847.1,95980.6,1812747588,-44286.4,115871.2,2326861915,-64177,71277,2510376325,-7100,70133.5,160157.6,6313705217,-19890.6,167257.6,6811653067,-26990.6,90024.1,187148.2,8743509691,-7100,97124.1,0,NE
YBR233W,4.59E+18,124,4.59E+18,5.69E+20,4.59E+18,0.15046942,4.59E+18,6.91E+17,-5.65E+20,1.24E+02,1.87E+01,1.24E+02,3.4071083,4.59E+18,1.56E+19,4.59E+18,1.27E+02,4.22E+02,1.21E+02,3.56E+00,5.13E-01,-3.26E+00,18.67742,4.59E+18,8.57E+19,4.59E+18,1.43E+02,2.32E+03,1.05E+02,1.88E+01,2.81E+00,-1.85E+01,2.21E+01,6.36E+01,-1.53E+01,112419.41,4.59E+18,5.16E+23,4.59E+18,112543.41,13940006.84,-112295.41,112419.5605,16915.68342,-112419.2595,112422.8171,383025.1049,-112416.0029,112438.0874,2099704.537,-112400.7326,0.00753928,4.59E+18,3.46E+16,4.59E+18,124.0075393,0.934870695,123.9924607,0.1580087,0.001134431,0.14293014,3.41464758,0.025687143,3.39956902,18.68495928,0.140814295,18.66988072,112419.4175,847.5613869,112419.4025,52.04494,4.59E+18,2.39E+20,4.59E+18,176.04494,6453.57256,71.95506,52.19540942,7.831171936,-51.89447058,55.4520483,177.322747,-48.6378317,70.72236,972.0652033,-33.36752,112471.4549,5850861.448,112367.3651,52.05247928,0.392381365,-52.03740072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE
YHR116W,4.10E+18,152,4.10E+18,6.23E+20,4.10E+18,0.14224193,4.10E+18,5.83E+17,-6.19E+20,1.52E+02,2.16E+01,1.52E+02,3.4241786,4.10E+18,1.40E+19,4.10E+18,1.55E+02,5.20E+02,1.49E+02,3.57E+00,4.87E-01,-3.28E+00,10.644737,4.10E+18,4.37E+19,4.10E+18,1.63E+02,1.62E+03,1.41E+02,1.08E+01,1.51E+00,-1.05E+01,1.41E+01,3.64E+01,-7.22E+00,260578.97,4.10E+18,1.07E+24,4.10E+18,260730.97,39608003.44,-260426.97,260579.1122,37065.25561,-260578.8278,260582.3942,892268.9327,-260575.5458,260589.6147,2773794.603,-260568.3253,0.007545143,4.10E+18,3.09E+16,4.10E+18,152.0075451,1.146861797,151.9924549,0.149787073,0.001073236,0.134696787,3.431723743,0.025835919,3.416633457,10.65228214,0.080316067,10.63719186,260578.9775,1966.105696,260578.9625,42.71601,4.10E+18,1.75E+20,4.10E+18,194.71601,6492.83352,109.28399,42.85825193,6.076007704,-42.57376807,46.1401886,146.2672473,-39.2918314,53.360747,454.7006921,-32.071273,260621.686,11130893.89,260536.254,42.72355514,0.322298421,-42.70846486,31948.9,138754,3412305459,-74856.2,252293,7039751616,-138754,96199.7,2052742384,-32301.9,57796,825786413.2,6101.8,102082.4,2240688178,-38184.6,121973,2876170968,-58075.2,129073,3103008158,-65175.2,106805.1,327149.2,23533873635,-113539,171055.9,6862313119,42554.3,132652.2,2760602100,80958,176938.6,7490615481,36671.6,196829.2,9615033003,16781,203929.2,10373349213,9681,220344.1,284594.9,14157284700,156093.3,246191.2,5695255987,194497,290477.6,9.03E+23,150210.6,310368.2,19836279293,130320,317468.2,21400722403,123220,64250.8,90097.9,1660696853,38403.7,134384.3,4506133482,-5882.7,154274.9,5784120444,-25773.3,161374.9,6240301124,-32873.3,25847.1,95980.6,1812747588,-44286.4,115871.2,2326861915,-64177,71277,2510376325,-7100,70133.5,160157.6,6313705217,-19890.6,167257.6,6811653067,-26990.6,90024.1,187148.2,8743509691,-7100,97124.1,0,NE
YBR222C,3.98E+18,102,3.98E+18,4.06E+20,3.98E+18,0.14003477,3.98E+18,5.57E+17,-4.02E+20,1.02E+02,1.43E+01,1.02E+02,3.387399,3.98E+18,1.35E+19,3.98E+18,1.05E+02,3.46E+02,9.86E+01,3.53E+00,4.74E-01,-3.25E+00,20.509804,3.98E+18,8.15E+19,3.98E+18,1.23E+02,2.09E+03,8.15E+01,2.06E+01,2.87E+00,-2.04E+01,2.39E+01,6.95E+01,-1.71E+01,52168.06,3.98E+18,2.07E+23,3.98E+18,52270.06,5321142.12,-52066.06,52168.20003,7305.342283,-52167.91997,52171.4474,176714.0343,-52164.6726,52188.5698,1069956.686,-52147.5502,0.007530262,3.98E+18,2.99E+16,3.98E+18,102.0075303,0.768086704,101.9924697,0.147565032,0.001054498,0.132504508,3.394929262,0.025508001,3.379868738,20.51733426,0.154444194,20.50227374,52168.06753,392.8391494,52168.05247,42.32085,3.98E+18,1.68E+20,3.98E+18,144.32085,4316.7267,59.67915,42.46088477,5.926390496,-42.18081523,45.708249,143.357605,-38.933451,62.830654,867.9923386,-21.811046,52210.38085,2207796.642,52125.73915,42.32838026,0.31868708,-42.31331974,12856.4,43303.2,391436239.5,-17590.4,50266.3,480956638.4,-43303.2,38752.8,332934477,-13040,25274.9,159657203.4,437.9,43539.9,394479349.4,-17827.1,44256.5,403692245.6,-18543.7,53250,519316279,-27537.2,30446.8,67856.7,1139011743,-6963.1,56343.2,788462511.5,4550.4,42865.3,378103585.8,18028.3,61130.3,934214387.8,-236.7,61846.9,956032564.7,-953.3,70840.4,1229855860,-9946.8,37409.9,63306.3,968781734.4,11513.5,49828.4,464574843.2,24991.4,68093.4,1.49E+23,6726.4,68810,1174674601,6009.8,77803.5,1511120537,-2983.7,25896.4,38314.9,321594443.4,13477.9,56579.9,794592189.4,-4787.1,57296.5,813149549.6,-5503.7,66290,1046048823,-14497.2,12418.5,43102,381043044.8,-18265,43818.6,389942141.9,-18981.6,27975.1,501627921.6,-8993.5,30683.5,62083.6,963464968.4,-716.6,71077.1,1239417026,-9710.1,31400.1,71793.7,1268363079,-8993.5,40393.6,0,NE
YBR231C,3.49E+18,119,3.49E+18,4.16E+20,3.49E+18,0.13127752,3.49E+18,4.59E+17,-4.12E+20,1.19E+02,1.56E+01,1.19E+02,3.4031608,3.49E+18,1.19E+19,3.49E+18,1.22E+02,4.05E+02,1.16E+02,3.53E+00,4.47E-01,-3.27E+00,11.546219,3.49E+18,4.03E+19,3.49E+18,1.31E+02,1.37E+03,1.07E+02,1.17E+01,1.52E+00,-1.14E+01,1.49E+01,3.93E+01,-8.14E+00,86874.45,3.49E+18,3.04E+23,3.49E+18,86993.45,10338059.55,-86755.45,86874.58128,11404.66235,-86874.31872,86877.85316,295647.7228,-86871.04684,86885.99622,1003071.425,-86862.90378,0.007533279,3.49E+18,2.63E+16,3.49E+18,119.0075333,0.896460225,118.9924667,0.138810799,0.00098895,0.123744241,3.410694079,0.02563696,3.395627521,11.55375228,0.086980891,11.53868572,86874.45753,654.4494872,86874.44247,35.17224,3.49E+18,1.23E+20,3.49E+18,154.17224,4185.49656,83.82776,35.30351752,4.61732444,-35.04096248,38.5754008,119.6967884,-31.7690792,46.718459,406.1063858,-23.626021,86909.62224,3055569.005,86839.27776,35.17977328,0.264962304,-35.16470672,427.9,839.2,175995.27,16.6,686.1,110483.78,-839.2,901.9,202824.6,-46.1,1014.8,251134.51,-159,806.4,161960.15,49.4,726.2,127642.57,129.6,811.5,164142.44,44.3,411.3,669.5,106197.66,153.1,885.3,194956.2,-62.7,998.2,241391.97,-175.6,789.8,155677.05,32.8,709.6,122690.79,113,794.9,157774.68,27.7,258.2,732.2,122386.8,-215.8,845.1,151537.58,-328.7,636.7,9.01E+20,-120.3,556.5,77021.06,-40.1,641.8,99045.52,-125.4,474,1060.9,278190.6,-112.9,852.5,179409,95.5,772.3,141394.2,175.7,857.6,181826.4,90.4,586.9,965.4,222141.65,208.4,885.2,175072.27,288.6,-203.3,225134.84,-85.3,378.5,676.8,112906.55,80.2,762.1,145192.6,-5.1,298.3,681.9,114427.88,-85.3,383.6,0,NE
YBR247C,3.05E+18,118,3.05E+18,3.60E+20,3.05E+18,0.122723244,3.05E+18,3.75E+17,-3.57E+20,1.18E+02,1.45E+01,1.18E+02,3.402409,3.05E+18,1.04E+19,3.05E+18,1.21E+02,4.01E+02,1.15E+02,3.53E+00,4.18E-01,-3.28E+00,7.59322,3.05E+18,2.32E+19,3.05E+18,1.26E+02,8.96E+02,1.10E+02,7.72E+00,9.32E-01,-7.47E+00,1.10E+01,2.58E+01,-4.19E+00,118035.57,3.05E+18,3.60E+23,3.05E+18,118153.57,13928197.26,-117917.57,118035.6927,14485.70806,-118035.4473,118038.9724,401605.2857,-118032.1676,118043.1632,896270.0508,-118027.9768,0.007534779,3.05E+18,2.30E+16,3.05E+18,118.0075348,0.889103887,117.9924652,0.130258023,0.000924692,0.115188465,3.409943779,0.025636399,3.394874221,7.600754779,0.057213232,7.585685221,118035.5775,889.3718987,118035.5625,20.65493,3.05E+18,6.31E+19,3.05E+18,138.65493,2437.28174,97.34507,20.77765324,2.534840014,-20.53220676,24.057339,70.27651973,-17.252521,28.24815,156.8374276,-13.06171,118056.2249,2438016.436,118014.9151,20.66246478,0.155630327,-20.64739522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE
YBR271W,2.83E+18,102,2.83E+18,2.89E+20,2.83E+18,0.11811805,2.83E+18,3.34E+17,-2.86E+20,1.02E+02,1.20E+01,1.02E+02,3.387399,2.83E+18,9.58E+18,2.83E+18,1.05E+02,3.46E+02,9.86E+01,3.51E+00,4.00E-01,-3.27E+00,9.235294,2.83E+18,2.61E+19,2.83E+18,1.11E+02,9.42E+02,9.28E+01,9.35E+00,1.09E+00,-9.12E+00,1.26E+01,3.13E+01,-5.85E+00,94158.73,2.83E+18,2.66E+23,2.83E+18,94260.73,9604190.46,-94056.73,94158.84812,11121.84558,-94158.61188,94162.1174,318953.1878,-94155.3426,94167.96529,869583.5542,-94149.49471,0.007534571,2.83E+18,2.13E+16,2.83E+18,102.0075346,0.768526191,101.9924654,0.125652621,0.000889969,0.11058348,3.394933571,0.025522597,3.37986443,9.242828571,0.069583974,9.22775943,94158.73753,709.4455894,94158.72247,22.062996,2.83E+18,6.24E+19,2.83E+18,124.062996,2250.425592,79.937004,22.18111405,2.606038065,-21.94487795,25.450395,74.73617059,-18.675597,31.29829,203.7582546,-12.827702,94180.793,2077423.683,94136.667,22.07053057,0.166235199,-22.05546143,31948.9,138754,3412305459,-74856.2,252293,7039751616,-138754,96199.7,2052742384,-32301.9,57796,825786413.2,6101.8,102082.4,2240688178,-38184.6,121973,2876170968,-58075.2,129073,3103008158,-65175.2,106805.1,327149.2,23533873635,-113539,171055.9,6862313119,42554.3,132652.2,2760602100,80958,176938.6,7490615481,36671.6,196829.2,9615033003,16781,203929.2,10373349213,9681,220344.1,284594.9,14157284700,156093.3,246191.2,5695255987,194497,290477.6,6.24E+23,150210.6,310368.2,19836279293,130320,317468.2,21400722403,123220,64250.8,90097.9,1660696853,38403.7,134384.3,4506133482,-5882.7,154274.9,5784120444,-25773.3,161374.9,6240301124,-32873.3,25847.1,95980.6,1812747588,-44286.4,115871.2,2326861915,-64177,71277,2510376325,-7100,70133.5,160157.6,6313705217,-19890.6,167257.6,6811653067,-26990.6,90024.1,187148.2,8743509691,-7100,97124.1,1,E
YHR114W,2.62E+18,138,2.62E+18,3.62E+20,2.62E+18,0.11369394,2.62E+18,2.98E+17,-3.59E+20,1.38E+02,1.57E+01,1.38E+02,3.4164531,2.62E+18,8.95E+18,2.62E+18,1.41E+02,4.71E+02,1.35E+02,3.53E+00,3.88E-01,-3.30E+00,8.855072,2.62E+18,2.32E+19,2.62E+18,1.47E+02,1.22E+03,1.29E+02,8.97E+00,1.01E+00,-8.74E+00,1.23E+01,3.03E+01,-5.44E+00,202208.56,2.62E+18,5.30E+23,2.62E+18,202346.56,27904781.28,-202070.56,202208.6737,22989.88789,-202208.4463,202211.9765,690836.0617,-202205.1435,202217.4151,1790571.358,-202199.7049,0.007535882,2.62E+18,1.97E+16,2.62E+18,138.0075359,1.039951757,137.9924641,0.121229822,0.000856784,0.106158058,3.423988982,0.025745988,3.408917218,8.862607882,0.06673078,8.847536118,202208.5675,1523.819908,202208.5525,35.398453,2.62E+18,9.28E+19,2.62E+18,173.398453,4884.986514,102.601547,35.51214694,4.024589591,-35.28475906,38.8149061,120.9371545,-31.9819999,44.253525,313.45585,-26.543381,202243.9585,7157870.207,202173.1615,35.40598888,0.266758575,-35.39091712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE
